pais,categoria_comida,consumo,emissao_co2
Algeria,laticínios,141.53,201.6
Algeria,trigo,185.42,35.36
Algeria,arroz,2.97,3.8
Algeria,soja,0.0,0.0
Algeria,nozes,2.08,3.68
Ukraine,suínos,20.56,72.77
Ukraine,aves,24.23,26.03
Ukraine,bovinos,8.96,276.49
Ukraine,caprinos,0.41,14.36
Ukraine,peixes,15.23,24.32
Ukraine,ovos,18.01,16.54
Ukraine,laticínios,145.03,206.58
Ukraine,trigo,105.15,20.05
Ukraine,arroz,3.0,3.84
Ukraine,soja,0.02,0.01
Ukraine,nozes,2.68,4.74
Pakistan,suínos,0.0,0.0
Pakistan,aves,5.01,5.38
Pakistan,bovinos,8.82,272.17
Pakistan,caprinos,2.46,86.15
Pakistan,peixes,1.87,2.99
Pakistan,ovos,2.95,2.71
Pakistan,laticínios,183.13,260.85
Pakistan,trigo,113.63,21.67
Pakistan,arroz,12.25,15.68
Pakistan,soja,0.0,0.0
Pakistan,nozes,0.83,1.47
Swaziland,suínos,2.43,8.6
Swaziland,aves,6.18,6.64
Swaziland,bovinos,15.1,465.95
Swaziland,caprinos,1.94,67.94
Swaziland,peixes,1.26,2.01
Swaziland,ovos,1.5,1.38
Swaziland,laticínios,56.6,80.62
Swaziland,trigo,37.15,7.08
Swaziland,arroz,21.15,27.07
Swaziland,soja,0.55,0.25
Swaziland,nozes,6.44,11.4
Latvia,suínos,34.96,123.74
Latvia,aves,20.53,22.05
Latvia,bovinos,5.11,157.68
Latvia,caprinos,0.34,11.91
Latvia,peixes,21.3,34.01
Latvia,ovos,14.03,12.89
Latvia,laticínios,174.11,248.0
Latvia,trigo,72.13,13.76
Latvia,arroz,2.21,2.83
Latvia,soja,0.04,0.02
Latvia,nozes,3.78,6.69
Bosnia and Herzegovina,suínos,9.38,33.2
Bosnia and Herzegovina,aves,13.17,14.15
Bosnia and Herzegovina,bovinos,9.12,281.42
Bosnia and Herzegovina,caprinos,0.47,16.46
Bosnia and Herzegovina,peixes,4.06,6.48
Bosnia and Herzegovina,ovos,4.49,4.12
Bosnia and Herzegovina,laticínios,174.03,247.89
Bosnia and Herzegovina,trigo,93.56,17.84
Bosnia and Herzegovina,arroz,1.88,2.41
Bosnia and Herzegovina,soja,1.48,0.67
Bosnia and Herzegovina,nozes,2.0,3.54
Fiji,suínos,4.31,15.26
Fiji,aves,20.26,21.76
Fiji,bovinos,8.96,276.49
Fiji,caprinos,5.9,206.62
Fiji,peixes,35.01,55.9
Fiji,ovos,6.44,5.92
Fiji,laticínios,40.2,57.26
Fiji,trigo,84.22,16.06
Fiji,arroz,45.62,58.38
Fiji,soja,0.3,0.14
Fiji,nozes,1.3,2.3
South Korea,suínos,32.76,115.95
South Korea,aves,16.0,17.19
South Korea,bovinos,14.53,448.37
South Korea,caprinos,0.14,4.9
South Korea,peixes,33.09,52.83
South Korea,ovos,11.24,10.33
South Korea,laticínios,29.05,41.38
South Korea,trigo,50.84,9.7
South Korea,arroz,85.18,109.0
South Korea,soja,8.35,3.76
South Korea,nozes,4.88,8.64
Poland,suínos,46.19,163.49
Poland,aves,27.41,29.44
Poland,bovinos,2.32,71.59
Poland,caprinos,0.02,0.7
Poland,peixes,10.49,16.75
Poland,ovos,7.53,6.92
Poland,laticínios,205.39,292.56
Poland,trigo,108.83,20.75
Poland,arroz,0.95,1.22
Poland,soja,0.06,0.03
Poland,nozes,2.23,3.95
Saudi Arabia,suínos,0.0,0.0
Saudi Arabia,aves,49.05,52.69
Saudi Arabia,bovinos,6.45,199.03
Saudi Arabia,caprinos,6.54,229.03
Saudi Arabia,peixes,11.99,19.14
Saudi Arabia,ovos,5.37,4.93
Saudi Arabia,laticínios,83.65,119.15
Saudi Arabia,trigo,89.47,17.06
Saudi Arabia,arroz,36.02,46.09
Saudi Arabia,soja,0.05,0.02
Saudi Arabia,nozes,3.23,5.72
Botswana,suínos,0.74,2.62
Botswana,aves,5.33,5.73
Botswana,bovinos,7.85,242.23
Botswana,caprinos,3.76,131.67
Botswana,peixes,3.98,6.35
Botswana,ovos,1.95,1.79
Botswana,laticínios,117.74,167.71
Botswana,trigo,38.2,7.28
Botswana,arroz,7.06,9.03
Botswana,soja,1.16,0.52
Botswana,nozes,1.08,1.91
Macedonia,suínos,10.35,36.63
